"depth","Site","treatment","class","relabund2","se","relative_abundance"
"5cm-end","CPCRW","drought","aliphatic",29.7433333333333,1.2623910294006,"29.7433333333333 ± 1.2623910294006"
"5cm-end","CPCRW","drought","aromatic",15.1533333333333,0.175302912443322,"15.1533333333333 ± 0.175302912443322"
"5cm-end","CPCRW","drought","condensed_arom",4.36166666666667,0.097345318896756,"4.36166666666667 ± 0.097345318896756"
"5cm-end","CPCRW","drought","unsaturated/lignin",50.745,1.3530354762533,"50.745 ± 1.3530354762533"
"5cm-end","CPCRW","timezero","aliphatic",40.31,3.49126290426067,"40.31 ± 3.49126290426067"
"5cm-end","CPCRW","timezero","aromatic",9.89,1.1407088439504,"9.89 ± 1.1407088439504"
"5cm-end","CPCRW","timezero","condensed_arom",2.3375,0.139126740779765,"2.3375 ± 0.139126740779765"
"5cm-end","CPCRW","timezero","unsaturated/lignin",47.4625,2.21319668880408,"47.4625 ± 2.21319668880408"
"5cm-end","SR","drought","aliphatic",24.5916666666667,0.675896523967324,"24.5916666666667 ± 0.675896523967324"
"5cm-end","SR","drought","aromatic",15.6316666666667,0.629631726576029,"15.6316666666667 ± 0.629631726576029"
"5cm-end","SR","drought","condensed_arom",5.26,0.440666162379943,"5.26 ± 0.440666162379943"
"5cm-end","SR","drought","unsaturated/lignin",54.5183333333333,0.503126337127278,"54.5183333333333 ± 0.503126337127278"
"5cm-end","SR","timezero","aliphatic",39.9133333333333,0.492691023304104,"39.9133333333333 ± 0.492691023304104"
"5cm-end","SR","timezero","aromatic",6.64,1.2700524923535,"6.64 ± 1.2700524923535"
"5cm-end","SR","timezero","condensed_arom",1.18,0.0665832811847939,"1.18 ± 0.0665832811847939"
"5cm-end","SR","timezero","unsaturated/lignin",52.2666666666667,1.71400440813643,"52.2666666666667 ± 1.71400440813643"
