"DOC_ID","depth","Site","treatment","class","abund","total","relabund"
"DOC-178","0-5cm","CPCRW","timezero","unsaturated/lignin",2898,5919,48.96
"DOC-179","0-5cm","CPCRW","timezero","aliphatic",2220,6664,33.31
"DOC-179","0-5cm","CPCRW","timezero","aromatic",832,6664,12.48
"DOC-179","0-5cm","CPCRW","timezero","condensed_arom",237,6664,3.56
"DOC-179","0-5cm","CPCRW","timezero","unsaturated/lignin",3375,6664,50.65
"DOC-180","0-5cm","CPCRW","timezero","aliphatic",2076,6501,31.93
"DOC-180","0-5cm","CPCRW","timezero","aromatic",811,6501,12.48
"DOC-180","0-5cm","CPCRW","timezero","condensed_arom",234,6501,3.6
"DOC-180","0-5cm","CPCRW","timezero","unsaturated/lignin",3380,6501,51.99
"DOC-181","5cm-end","CPCRW","timezero","aliphatic",2548,6737,37.82
"DOC-181","5cm-end","CPCRW","timezero","aromatic",736,6737,10.92
"DOC-181","5cm-end","CPCRW","timezero","condensed_arom",161,6737,2.39
"DOC-181","5cm-end","CPCRW","timezero","unsaturated/lignin",3292,6737,48.86
"DOC-182","5cm-end","CPCRW","timezero","aliphatic",2404,6587,36.5
"DOC-182","5cm-end","CPCRW","timezero","aromatic",732,6587,11.11
"DOC-182","5cm-end","CPCRW","timezero","condensed_arom",165,6587,2.5
"DOC-182","5cm-end","CPCRW","timezero","unsaturated/lignin",3286,6587,49.89
"DOC-183","5cm-end","CPCRW","timezero","aliphatic",2477,4883,50.73
"DOC-183","5cm-end","CPCRW","timezero","aromatic",316,4883,6.47
"DOC-183","5cm-end","CPCRW","timezero","condensed_arom",94,4883,1.93
"DOC-183","5cm-end","CPCRW","timezero","unsaturated/lignin",1996,4883,40.88
"DOC-184","5cm-end","CPCRW","timezero","aliphatic",2379,6573,36.19
"DOC-184","5cm-end","CPCRW","timezero","aromatic",727,6573,11.06
"DOC-184","5cm-end","CPCRW","timezero","condensed_arom",166,6573,2.53
"DOC-184","5cm-end","CPCRW","timezero","unsaturated/lignin",3301,6573,50.22
