"Mass","formula","element_comp","class","HC","OC","AImod","NOSC","C","H","O","N","S","P"
550.0837292,"C23H21O15N1","CHON","unsaturated/lignin",0.91,0.65,0.3793,0.5217,23,21,15,1,0,0
550.0840528,"C23H21O15N1","CHON","unsaturated/lignin",0.91,0.65,0.3793,0.5217,23,21,15,1,0,0
550.1201283,"C24H25O14N1","CHON","unsaturated/lignin",1.04,0.58,0.3125,0.25,24,25,14,1,0,0
550.156576,"C25H29O13N1","CHON","unsaturated/lignin",1.16,0.52,0.2571,0,25,29,13,1,0,0
550.1569621,"C28H30O5N3S1P1","CHONSP","unsaturated/lignin",1.07,0.18,0.4146,-0.3214,28,30,5,3,1,1
550.1775971,"C22H33O15N1","CHON","aliphatic",1.5,0.68,-0.1111,0,22,33,15,1,0,0
550.1779421,"C22H33O15N1","CHON","aliphatic",1.5,0.68,-0.1111,0,22,33,15,1,0,0
550.192983,"C26H33O12N1","CHON","unsaturated/lignin",1.27,0.46,0.2105,-0.2308,26,33,12,1,0,0
550.2015484,"C29H33O6N3S1","CHONS","unsaturated/lignin",1.14,0.21,0.3636,-0.3448,29,33,6,3,1,0
550.2060994,"C23H38O12N1P1","CHONP","aliphatic",1.65,0.52,-0.1333,-0.4783,23,38,12,1,0,1
550.2146844,"C26H38O6N3S1P1","CHONSP","unsaturated/lignin",1.46,0.23,0.1111,-0.5769,26,38,6,3,1,1
550.2424958,"C24H42O11N1P1","CHONP","aliphatic",1.75,0.46,-0.1515,-0.7083,24,42,11,1,0,1
550.2509,"C24H41O13N1","CHON","aliphatic",1.71,0.54,-0.1515,-0.5,24,41,13,1,0,0
550.2660123,"C28H41O10N1","CHON","unsaturated/lignin",1.46,0.36,0.1364,-0.6429,28,41,10,1,0,0
550.2788565,"C25H46O10N1P1","CHONP","aliphatic",1.84,0.4,-0.1667,-0.92,25,46,10,1,0,1
550.2873255,"C28H46O4N3S1P1","CHONSP","aliphatic",1.64,0.14,0.0476,-0.9643,28,46,4,3,1,1
550.28775,"C26H49O7N1S2","CHONS","aliphatic",1.88,0.27,-0.1795,-1.0769,26,49,7,1,2,0
550.3236362,"C26H49O11N1","CHON","aliphatic",1.88,0.42,-0.1795,-0.9231,26,49,11,1,0,0
550.9951673,"C21H12O18","CHO","aromatic",0.57,0.86,0.5833,1.1429,21,12,18,0,0,0
550.9954712,"C24H13O10N2S1P1","CHONSP","condensed_arom",0.54,0.42,0.7333,0.625,24,13,10,2,1,1
551.0098314,"C17H16O17N2S1","CHONS","unsaturated/lignin",0.94,1,-0.0909,1.5294,17,16,17,2,1,0
551.0104864,"C25H12O15","CHO","condensed_arom",0.48,0.6,0.7143,0.72,25,12,15,0,0,0
551.0315741,"C22H16O17","CHO","unsaturated/lignin",0.73,0.77,0.4815,0.8182,22,16,17,0,0,0
551.0319027,"C25H17O9N2S1P1","CHONSP","aromatic",0.68,0.36,0.6364,0.36,25,17,9,2,1,1
551.0468441,"C26H16O14","CHO","aromatic",0.62,0.54,0.6316,0.4615,26,16,14,0,0,0
551.0471298,"C29H17O6N2S1P1","CHONSP","condensed_arom",0.59,0.21,0.7273,0.1034,29,17,6,2,1,1
